"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint"
"C1","1","22u Elko","","","","Capacitor_SMD:CP_Elec_5x5.3"
"C2,C4,C6,C9,C10,C13,C16","7","0.1u","","","","Capacitor_SMD:C_0805_2012Metric"
"C3,C23,C24,C32,C33","5","10p","","","","Capacitor_SMD:C_0805_2012Metric"
"C5,C7,C12,C15,C17,C18,C20,C21","8","10u Elko","","","","Capacitor_SMD:CP_Elec_5x5.3"
"C8,C11","2","1u Elko","","","","Capacitor_SMD:CP_Elec_5x5.3"
"C14,C19","2","1u tantal","","","","Capacitor_SMD:C_0805_2012Metric"
"C22,C31","2","47u","","","","Capacitor_SMD:C_0805_2012Metric"
"C25,C34","2","4.7u","","","","Capacitor_SMD:C_0805_2012Metric"
"C26,C27,C29,C30","4","5n","","","","Capacitor_SMD:C_0805_2012Metric"
"C28,C35","2","220n","","","","Capacitor_SMD:C_0805_2012Metric"
"D1,D2","2","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal"
"D3,D6","2","CD1408","","","","Aktive_Bal_Footprints:CD1408_Footprint"
"D4,D5,D7,D8","4","SS24","","","","Diode_SMD:D_SMA"
"J1,J2,J5,J6","4","PC5930T","","","","Aktive_Bal_Footprints:PC5930T_Footprint"
"J3","1","WAGO_1_5","","","","Connector_Wago:Wago_734-135_1x05_P3.50mm_Vertical"
"J4","1","DE9_Pins_MountingHoles","","","","Aktive_Bal_Footprints:D_SUB9_Stecker"
"J7","1","Sockel_BluePill","","","","Aktive_Bal_Footprints:SockelBluepill Dupont leisten"
"J8","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"JP1","1","Jumper_2_Open","","","","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm"
"Q1,Q2,Q3,Q4","4","BSC016N06NS","","","","Package_TO_SOT_SMD:TDSON-8-1"
"R1","1","120","","","","Resistor_SMD:R_0805_2012Metric"
"R2","1","2.1k","","","","Resistor_SMD:R_0805_2012Metric"
"R3","1","240","","","","Resistor_SMD:R_0805_2012Metric"
"R4,R5","2","R","","","","Resistor_SMD:R_0805_2012Metric"
"R6,R7,R13,R14","4","100k","","","","Resistor_SMD:R_0805_2012Metric"
"R8,R9,R20,R21","4","49","","","","Resistor_SMD:R_0805_2012Metric"
"R10,R22","2","2.2","","","","Resistor_SMD:R_0805_2012Metric"
"R11,R12,R15,R16","4","1.5","","","","Resistor_SMD:R_0805_2012Metric"
"R17,R18,R23,R24","4","100","","","","Resistor_SMD:R_0805_2012Metric"
"R26","1","Shunt_BVT-M-R0005","","","","Aktive_Bal_Footprints:Shunt_BVT-M-R0005"
"U1","1","SN65HVD233","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U2","1","LT1999-50","","","","Package_SO:MSOP-8_3x3mm_P0.65mm"
"U3","1","R-78K15-0.5","","","","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT"
"U4","1","ADR3036","","","","Package_SO:MSOP-8_3x3mm_P0.65mm"
"U5","1","LM317_SOT-223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U6","1","R-78K5.0-0.5","","","","Converter_DCDC:Converter_DCDC_RECOM_R-78E-0.5_THT"
"U7","1","AD8031","","","","Package_TO_SOT_SMD:SOT-23-5"
"U8","1","LD1117S33TR_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U9,U10","2","UCC27734","","","","Aktive_Bal_Footprints:SOIC-8_3.9x4.9mm_P1.27mm_UCC27734"
